"holder","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025"
"Kozoo mining multi -purpose cooperative society Limited","gold","1","1","7","Sand/Limestone (General)/Gold","0"
"KPR Investments Limited","critical_battery","1","0","88396","Nickel/Manganese/Zinc","0"
"KSP Investements Limited","gemstones","1","0","3701","Iron Ore/Graphite/Zinc","1"
"Kuaisu Auto Service Limited","gold","1","0","2609","Iron Ore/Zinc/Gold","0"
"Kubanta Investements Limited","gemstones","1","0","4452","Gold/Iron Ore/Tourmaline","1"
"Kuchomwetu Mining company Limited","gemstones","1","0","6091","Nickel/Manganese/Gravel","0"
"Kudinkaku Multi-Purpose Society Limited","critical_battery","1","1","7","Limestone (General)/Lead/Zinc","1"
"Kuhimpika Mining Company Limited","gold","1","0","952","Iron Ore/Silver/Gold","1"
"KUKUMBA NA KULIMA MULTI-PURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","2","Palladium/Nickel/Manganese","0"
"Kukwatakana Community Initiative Foundation","critical_battery","1","0","385","Nickel/Lead/Zinc","1"
"Kula Resources Limited","critical_battery","1","0","40464","Platinum Group Metals/Nickel/Zinc","0"
"Kunachi Northwest Investements Limited","gemstones","1","0","870","Rare EarthsElements/Manganese/Zinc","1"
"KUTANGA MINING LIMITED","gemstones","1","0","76","Manganese/Malachite/Zinc","0"
"Kuti Foods Company Limited","gemstones","1","0","63","Tantalum/Quartz/Tourmaline","1"
"Kuza Investments Limited","critical_battery","1","0","899","Nickel/Manganese/Talc-Soapstone","1"
"Kuzata Investments Limited","critical_battery","2","0","1364","Manganese/Nickel/Silver","0"
"Kwetu Multi Purpose Co-operative Society Limited","gold","1","1","7","Quartz/Gold","1"
"KWICK CHEKS MINES LIMITED","gemstones","1","0","494","Manganese/Sand/Limestone (General)","0"
"Kyuulu Mutezhi Multi-purpose Co-operative Society Limited","gemstones","1","1","7","Iron Ore/Gold/Zinc","0"
"L and I Investments Limited","critical_battery","1","0","55208","Nickel/Silver/Gold","0"
"LA Tashen Limited","critical_battery","1","0","154","Manganese/Lead/Silver","1"
"Laka Mining Resources LIMITED","critical_battery","1","0","911","Gold/Nickel/Cobalt","0"
"Langtasee Mining Company Limited","gemstones","2","0","666","Iron Ore/Manganese/Gold","2"
"Lavuponde Multi - Cooperative Society Limited","gemstones","1","1","7","Gold/Iron Ore/Manganese","1"
"Lawgum Investments Limited","gemstones","1","0","83","Manganese/Malachite/Limestone (General)","0"
"Legacy Innovations Limited","gemstones","1","0","6979","Manganese/Nickel/Silver","1"
"Legacy Resources Limited","gemstones","1","0","3010","Rare EarthsElements/Lithium/Zinc","1"
"Leixin  Renewable Resources Limited","gold","1","1","53","Gold/Copper","1"
"Lekima Zambia Limited","critical_battery","1","0","25464","Lead/Manganese/Zinc","1"
"Liakaz  Investment Limited","gemstones","1","0","198","Quartz/Tourmaline/Manganese","1"
"Lian Chao and Yue Ventures Limited","critical_battery","1","0","24977","Lead/Manganese/Zinc","0"
"lianneng mining limited","gemstones","2","0","5199","Gold/Anhydrite/Gypsum","0"
"Libonene Enterprises Limited","critical_battery","1","0","3191","Gold/Nickel/Cobalt","0"
"Libra Mining Limited","gold","1","1","7","Gold","1"
"Lifestone Minerals Limited","gemstones","1","0","966","Quartz/Manganese/Zinc","1"
"Light Man Tours General Dealers Limited","gemstones","1","0","26","Quartz/Gold/Garnet","0"
"LIGHTSTONE MINING COMPANY LIMITED","critical_battery","2","0","517","Tantalum/Tin/Rare EarthsElements","0"
"LIIBAN INVESTMENTS ZAMBIA LIMITED","critical_battery","1","0","17519","Manganese/Limestone (General)/Silver","0"
"Likanta Resources Limited","critical_battery","1","0","35395","Sand and Gravel/Rare EarthsElements/Niobium (Columbium)","1"
"Lilayi Talc Mine Association","gold","1","1","7","Gold","0"
"Lincolnsabrina Equity Limited","gemstones","1","0","94","Quartz/Lithium/Tin","0"
"Linkstone Investments Limited","gemstones","1","0","5731","Manganese/Quartz/Silver","0"
"Lintai Mining Company Limited","critical_battery","1","0","1176","Manganese/Lead/Zinc","0"
"LION ZONE DEVELOPMENT LIMITED","gemstones","1","0","9142","Rare EarthsElements/Sheet Mica/Manganese","0"
"Lipostide Resources Limited","gemstones","1","0","1733","Gold/Lithium/Aquamarine","1"
"Lisko Logistics Limited","gemstones","1","0","533","Manganese/Iron Ore/Silver","1"
"Lithachi Logistics Limited","gemstones","1","0","461","Precious Gems/Semi-Precious Gems/Platinum","1"
"Liuzh Company Limited","gemstones","2","0","7911","Copper/Gold/Aquamarine","2"
"Liyez Enterprises Limited","critical_battery","1","0","9830","Lithium/Manganese/Copper","1"
"LOBITO RESOURCES LIMITED","gemstones","1","0","50657","Garnet/Gemstones/Feldspar","0"
"Lochiku Logistics Limited","gemstones","1","0","3664","Manganese/Iron Ore/Tourmaline","1"
"Longhorn Global Commodities Limited","gemstones","1","0","17292","Silver/Tourmaline/Zinc","0"
"Longpula Investments Limited","gold","1","0","354","Iron Ore/Silver/Gold","1"
"Longvee Mining Limited","critical_battery","2","0","1970","Copper/Cobalt/Gold","0"
"Lords Craftsmen Enterprises Limited","critical_battery","1","0","7390","Nickel/Silver/Zinc","1"
"Lotuno Enterprises Limited","gemstones","1","1","57","Tin/Tourmaline/Amethyst","0"
"Louis Mining Company Limited","critical_battery","1","0","97","Manganese/Silver/Copper","0"
"LSS Corporate World Limited","gemstones","1","0","11230","Nickel/Platinum Group Metals/Granite","0"
"Luamba Investment Company Limited","critical_battery","1","0","549","Quartz/Silver/Tin","1"
"Luambulu Mining Limited","gemstones","1","0","994","Gold/Quartz/Tourmaline","1"
"Luangwa Gemfields Mining Company Limited","gemstones","1","0","116","Phosphorus-Phosphates/Nickel/Quartz","1"
"Luano Agricultural Development Limited","critical_battery","1","0","41856","Manganese/Silver/Zinc","0"
"Luapula Women In Extractive Mining Co-operative Society Limited","critical_battery","1","1","7","Iron Ore/Manganese/Quartz","0"
"Luban Engineering Zambia Limited","gemstones","2","0","1237","Iron Ore/Nickel/Gold","0"
"Lubuchi geo-consultancy Limited","critical_battery","1","0","653","Iron Ore/Manganese/Gold","0"
"Lubuto Landscaping Limited","critical_battery","1","0","24866","Manganese/Silver/Zinc","1"
"Luchat Business Company Limited","gemstones","1","0","919","Emerald/Quartz/Copper","1"
"Luchisaka Mining and Development Cooperative Limited","gemstones","1","1","7","Granite/Mica/Gold","0"
"Lukabu Westlake enterprises","gemstones","2","0","1818","Iron Ore/Lead/Gold","0"
"Lukamantano Youth Multi-Purpose Cooperative","critical_battery","1","1","7","Pyrite/Tin/Zinc","1"
"Lukomaria Mining Investment Limited","gemstones","1","0","20","Emerald/Beryllium","0"
"Lukusashi Company Limited","critical_battery","1","0","8410","Manganese/Silver/Uranium","0"
"Lumezi Mining Limited","gemstones","1","0","47","Garnet","1"
"Lumuno Enterprises Limited","gemstones","2","0","1350","Iron Ore/Tourmaline/Gold","2"
"LUNAREDGE VENTURES LIMITED","gemstones","1","0","10185","Manganese/Malachite/Lead","0"
"Lunsongwa and Mining  Exploration  Resources Limited","critical_battery","1","0","87354","Nickel/Zinc/Gold","0"
"Lupansa Mining And Exploration Limited","gemstones","1","0","371","Iron Ore/Manganese/Quartz","1"
"Lusangazi Nyakulemba Gold Minerals Resources Limited","gemstones","1","0","791","Tourmaline/Gold/Copper","0"
"Lusasha Mining and Contractors Limited","critical_battery","1","0","57465","Quartz/Manganese/Zinc","1"
"Lutebwe Mining Zambia Limited","gold","1","0","997","Lead/Quartz/Zinc","0"
"Luwi Business Resources Limited","critical_battery","1","0","15672","Silver/Manganese/Tin","0"
"Luwi Gemstone Mining Limited","gemstones","1","0","180","Tourmaline/Emerald/Amethyst","0"
"Lwebitech Farms Limited","gold","1","0","944","Gold/Copper/Cobalt","1"
"Lyon Mining Zambia Limited","gemstones","1","0","3912","Quartz/Platinum/Tantalum","1"
"Machiba Computers Limited","critical_battery","1","0","937","Silica/Zinc/Manganese","0"
"Mackford General Works Limited","gemstones","1","0","363","Manganese/Quartz/Copper","1"
"Madar Mining Zambia Limited","gemstones","1","0","79372","Rare EarthsElements/Manganese/Lead","0"
"Madibba Resources  And Exploration Company Limited","gemstones","1","0","2463","Radium/Silver/Quartz","0"
"Madibba Resources Multipurpose Cooperative Society","gemstones","1","1","7","Quartz/Radium/Nickel","1"
"Mafula Minerals Resources  Limited","critical_battery","1","0","2623","Manganese/Silver/Zinc","1"
"Mafula Mining Limited","gemstones","1","0","902","Platinum/Nickel/Silver","0"
"Maggie Kashinakazhi Mine Limited","gold","1","0","211","Lead/Silver/Zinc","1"
"Magnificent  Mining Limited","critical_battery","1","0","9539","Quartz/Marble/Zinc","0"
"Mahamu Holdings Limited","gold","1","0","24017","Gold/Silver/Coal","0"
"Majeed Pasha Investments Limited","gold","1","0","990","Gold/Iron Ore/Cobalt","0"
"Makandwe Multi-purpose cooperative Society Limited","gold","1","1","7","Iron Ore/Silver/Gold","1"
"Makeni College School of Nursing","critical_battery","1","0","11073","Tantalum/Thallium/Silver","0"
"Makgreen Consultant Limited","gemstones","1","0","13","Manganese/Laterite/Nickel","0"
"Maks Hill Investment Limited","critical_battery","1","0","440","Gold/Manganese/Cobalt","0"
"Malabwe Mine Limited","gemstones","1","1","96","Emerald/Beryllium","1"
"Malemashi Copper Mult Purpose Cooperative Society Limited","gemstones","1","1","7","Quartz/Silver/Tourmaline","0"
"Malibata Investments Limited","critical_battery","1","0","524","Lithium/Manganese/Gold","1"
"Malica Enterprises Limited","gemstones","1","0","11832","Lithium/Manganese/Kyanite","0"
"Maliot Goldhill Zambia Limited","critical_battery","2","0","15091","Gold/Lead/Cobalt","1"
"Mamala Enterprises Limited","gemstones","1","0","117","Amethyst","0"
"Manasa Mining Associates Limited","gemstones","2","0","5474","Quartz/Nickel/Zinc","0"
"Mango Grove Investments Limited","critical_battery","2","0","1159","Lead/Quartz/Zinc","2"
"Mango Mining Co-operative Society Limited","critical_battery","1","1","7","Gold/Nickel/Cobalt","1"
"Mano Yachila Maka Mining Cooperative","gemstones","1","0","78","Emerald","0"
"Mano Yachilamaka Mining Company Limited","gemstones","1","1","78","Emerald/Beryllium","1"
"Manvin Minerals Limited","gold","1","0","23044","Iron Ore/Lead/Zinc","0"
"Maosheng Mineral Resources Zambia Limited","critical_battery","1","1","53","Gold/Manganese/Cobalt","0"
"Mapalo Quarries Limited","gold","1","0","213","Platinum/Silver/Zinc","0"
"Mapatizya Central Multi-Purpose Cooperative Society","gemstones","1","1","7","Lithium/Lead/Mica","1"
"Mapelo Gemstone Export Co. Limited","gemstones","1","1","60","Garnet","1"
"Mapompo Investements Limited","critical_battery","1","1","76","Manganese/Limestone (General)/Talc-Soapstone","1"
"Mapp Mining Limited","critical_battery","1","0","1099","Manganese/Lead/Zinc","1"
"Mara Benefit Logistics Limited","gemstones","2","0","60","Nickel/Manganese/Zinc","0"
"maraed Mining Contractors and General Suppliers Limited","critical_battery","1","0","8862","Iron Ore/Manganese/Copper","1"
"Marengo Limited","critical_battery","2","0","2179","Lithium/Limestone (General)/Lead","2"
"MARESTHER MINERAL RESOURCES LIMITED","gold","1","0","29724","Gold/Copper/Cobalt","0"
"Maretec Investments Limited","critical_battery","2","0","1752","Gold/Copper/Cobalt","2"
"Marjohn Lukeka Mining & Exploration Company Limited","critical_battery","1","0","3555","Iron Ore/Manganese/Zinc","0"
"Marriott Industries Limited","critical_battery","1","0","9220","Iron Ore/Manganese/Copper","1"
"Marumunachi Mining Company Limited","gemstones","1","0","13","Emerald/Aquamarine","0"
"Matka Technical Services Limited","critical_battery","1","0","3698","Manganese/Lead/Zinc","0"
"Matsimu Investment Limited","critical_battery","1","0","43617","Tin/Tantalum","1"
"Max Global Ferro Alloys Limited","critical_battery","1","1","37","Silica/Manganese","1"
"Maxchi Cargo Services Zambia Limited","gemstones","1","0","144","Manganese/Nickel/Anhydrite","0"
"Maxsma Minerals Limited","critical_battery","1","0","5952","Limestone (General)/Lead/Iron Ore","1"
"Mayiko Mining Limited","critical_battery","1","0","871","Iron Ore/Manganese/Zinc","0"
"MC Chewe Building and General Contractors Limit","gemstones","1","0","44","Emerald","0"
"MC Mining Limited","critical_battery","1","0","217","Nickel/Manganese/Quartz","1"
"MECS Service Limited","gemstones","1","0","377","Gold/Quartz/Silver","0"
"MEDIBUK INVESTMENTS LIMITED","gemstones","1","0","13","Lithium/Manganese/Iron Ore","0"
"MEDICI RESOURCES LIMITED","gemstones","1","0","4297","Silver/Niobium (Columbium)/Nickel","0"
"Mediterranean Mining Limited","gold","1","1","149","Gold/Copper","1"
"Mega Press Limited","gemstones","1","0","19962","Iron Ore/Manganese/Zinc","1"
"Meihua International Mining Limited","gemstones","1","0","7658","Lead/Iron Ore/Tin","1"
"Melai Company Limited","gemstones","1","1","121","Emerald/Beryllium","1"
"Melaot Zones Mining and Engineering Limited","critical_battery","1","0","3620","Lead/Manganese/Zinc","0"
"Melesa Mining Limited","gemstones","1","0","83388","Manganese/Iron Ore/Tourmaline","0"
"MELKON MINERALS LIMITED","critical_battery","1","0","572","Tantalum/Nickel/Uranium","0"
"Melzer Mining Limited","gemstones","1","1","25","Emerald","1"
"Memory Kambulu Resources Limited","gemstones","1","1","81","Tin/Quartz/Tungsten","1"
"Menel Energy & Resources Limited","gold","1","0","96168","Lead/Quartz/Zinc","0"
"MERACLUS INVESTMENTS LIMITED","gemstones","2","0","1997","Copper/Gold/Nickel","0"
"Meraki Mining Limited","gemstones","1","0","691","Manganese/Lead/Rare EarthsElements","0"
"Merjun Explorations Limited","gemstones","1","0","953","Diamond","1"
"Metmin Limited","gemstones","1","0","1831","Talc-Soapstone/Silver/Rare EarthsElements","1"
"Mfumu Property Group Limited","critical_battery","1","0","14180","Gold/Fluorine-Fluorite/Quartz","0"
"Mfunshi Enterprise Limited","critical_battery","1","0","519","Nickel/Malachite/Zinc","1"
"MIAHS Auto and General Trading Limited","critical_battery","1","0","3379","Lithium/Iron Ore/Manganese","1"
"Midstream Capital Limited","critical_battery","1","0","1707","Manganese/Platinum/Tantalum","0"
"Midway Mining Limited","critical_battery","1","0","523","Manganese/Malachite/Sand","0"
"Mijo Mining Limited","gold","1","0","550","Granite/Limestone (General)/Gold","0"
"Milindi Sanitation and General Dealers Limited","gemstones","1","0","836","Quartz/Silver/Tourmaline","1"
"Millenium Business Systems Limited","gemstones","1","0","17","Quartz/Amethyst","0"
"Millenium Business systems Ltd","critical_battery","2","0","3314","Manganese/Gold/Niobium (Columbium)","2"
"Minache Resources Limited","gold","1","0","282","Gold","0"
"MINEGEM RESOURCES LIMITED","critical_battery","1","0","18020","Nickel/Manganese/Zinc","1"
"Minerals & Metals Corporation Zambia Limited","gemstones","1","0","321","Amethyst","1"
"Mineworth Investments Limited","critical_battery","2","0","1099","Iron Ore/Nickel/Zinc","0"
"Mingeli Resources Limited","critical_battery","1","0","661","Rare EarthsElements/Quartz/Platinum Group Metals","1"
"Mingi Investments Holdings Limited","critical_battery","2","0","2714","Copper/Talc-Soapstone/Gold","1"
"Minicom Technologies Limited","critical_battery","1","0","268","Nickel/Quartz/Zinc","0"
"Minol Insights Investments Limited","gemstones","3","0","1531","Emerald/Diamond","1"
"Mirage Investments Limited","critical_battery","1","0","60","Manganese/Copper","1"
"Mirene Investments Limited","gemstones","2","0","510","Quartz/Garnet","0"
"Misambo Enterprise & agro Limited","critical_battery","1","0","6900","Manganese/Silver/Gold","0"
"Misoler Investment Limited","critical_battery","2","0","2371","Manganese/Silver/Zinc","1"
"Mistique Trading Limited","critical_battery","1","0","1997","Manganese/Zinc/Gold","1"
"MJAC Minerals Company Limited","gemstones","1","0","1288","Green tourmaline/Iron Ore/Quartz","0"
"MJK Resources Zambia Limited","critical_battery","2","0","711","Lithium/Manganese/Gold","1"
"Mkumbacanoka Mining Co-operatives  Society Limited","gemstones","1","1","7","Silica/Quartz/Manganese","0"
"Mkushi Stones Zambia Limited","gemstones","1","0","17322","Nickel/Manganese/Quartz","1"
"Mlema Mining Limited","critical_battery","2","0","199","Tantalum/Manganese/Zinc","1"
"Mlima Mining Investment Limited","critical_battery","1","0","4792","Lead/Manganese/Zinc","1"
"MNS Global World import and Export Limited","gemstones","1","0","2399","Nickel/Niobium (Columbium)/Kaolin","1"
"Moersis Enterprises Limited","gemstones","1","0","239","Sand/Nickel/Manganese","0"
"Mofwe Gemstone mining","gemstones","1","0","112","Emerald","0"
"Mojo Commodities Limited","gold","2","0","497","Gold/Copper/Iron Ore","2"
"Momentum  Mining Services  Limited","critical_battery","1","0","32597","Nickel/Manganese/Zinc","1"
"Momentum Mining Services Limited","critical_battery","1","0","2166","Nickel/Manganese/Quartz","0"
"Mon Fuel and Oil Investment","critical_battery","1","0","767","Manganese/Limestone (General)/Zinc","1"
"Monoliths Mining Group Limited","gemstones","2","0","9432","Iron Ore/Gold/Zinc","0"
"Morton Enterprises Limited","critical_battery","2","0","8835","Manganese/Zinc/Copper","0"
"Mother Land Resources Limited","critical_battery","2","0","1723","Granite/Limestone (General)/Nickel","1"
"Mother Load Deposits Limited","critical_battery","1","0","197","Lithium/Tin/Cobalt","1"
"Motherland Resources Limited","critical_battery","1","0","393","Lithium/Limestone (General)/Nickel","0"
"MOUNT WATAI COPPER MINE LIMITED","gemstones","1","0","20102","Nickel/Lead/Silver","0"
"Moxico Amadoda Mining Limited","critical_battery","1","0","9141","Nickel/Manganese/Zinc","1"
"Moyan Services Limited","gold","1","1","7","Gold","1"
"Mpanga Mining Cooperative Society Limited","gold","1","1","7","Platinum Group Metals/Silver/Uranium","0"
"Mpanga Yabusasa Investment Limited","critical_battery","1","0","14699","Lead/Lithium/Manganese","0"
"Mpaso Mining Company Ltd","gemstones","1","0","417","Quartz/Gold/Tourmaline","1"
"Mpavu Multi-Purpose Cooperative Society Limited","gemstones","1","1","7","Quartz/Niobium (Columbium)/Aquamarine","1"
"MTDK INVESTMENT LIMITED","gemstones","1","0","2097","Nickel/Lead/Zinc","0"
"Muamba and Company Ltd","gemstones","1","1","143","Tourmaline/Quartz/Aquamarine","1"
"Mubaich Resources Limited","gemstones","1","0","501","Lithium/Manganese/Lead","1"
"Muchenga Resources Limited","critical_battery","2","0","1964","Zinc/Iron Ore/Lead","2"
"Muchenge African Power Traders International Limited","gemstones","2","0","520","Nickel/Iron Ore/Silver","2"
"Mufumbwe Mining Multi-purpose Co-operative Society Limited","critical_battery","1","1","7","Quartz/Nickel/Rare EarthsElements","1"
"Mufwashi Mining Cooperative Society Limited","gemstones","1","1","7","Gold/Iron Ore/Tourmaline","1"
"Mufwashi New Multi-purpose Co-operative Society Limited","gold","1","1","7","Lead/Zinc/Gold","1"
"Mujimanzovu Resources Limited","gemstones","1","0","41155","Mica/Gold/Quartz","0"
"Mukala Mineral  Co-operation Society Limited","gold","1","1","7","Gold/Copper/Cobalt","1"
"Mukanjaka Mining Industries Company Limited","gemstones","1","1","117","Emerald","0"
"MUKAPELWA SMALL SCALE MINING LIMITED","gemstones","1","0","911","Manganese/Lead/Iron Ore","0"
"Mukoleku Security Services Limited","critical_battery","1","0","64075","Silica/Rare EarthsElements/Platinum","0"
"Mukoleku Security Services LTD","critical_battery","1","0","4124","Platinum/Mineral Sands/Rare EarthsElements","1"
"MUKULIKA MINING AND GENERAL DEALERS LIMITED","gemstones","1","0","2048","Precious Gems/Quartz/Green tourmaline","1"
"MUKUNGULE MULTI PURPOSE CO-OPERATIVE SOCIETY LIMITED","gold","1","1","7","Gold/Copper","0"
"Mukuni Mining Cooperative Society Limited","gemstones","1","1","7","Tourmaline/Zinc/Copper","1"
"Mukuta Bulongo Multipurpose Society Limited","gold","1","1","7","Gold","1"
"Mulala Farms Limited","critical_battery","1","0","933","Manganese/Phosphorus-Phosphates/Lead","1"
"Mulberry Mining Company LIMITED","critical_battery","1","0","183","Manganese/Silver/Zinc","0"
"Mulev Mining And Agricultural Multi Purpose Cooperative Society Limited","gemstones","1","1","7","Manganese/Quartz/Silica","1"
"Mululu Minerals Limited","critical_battery","1","0","346","Quartz/Manganese/Silver","0"
"Mumbachala Mines Company Limited","gemstones","1","0","928","Limestone (General)/Manganese/Quartz","1"
"Mundala Corporation Limited","critical_battery","1","0","10144","Magnesium (Brucit)/Limestone (General)/Lead","1"
"Munjiwe Enterprises Limited","critical_battery","1","0","891","Lead/Manganese/Silver","1"
"Munkotachi Investments Limited","gemstones","1","0","472","Limestone (General)/Lead/Iron Ore","0"
"Munyumakazi Mining Cooperative Limited","critical_battery","1","1","7","Iron Ore/Manganese/Copper","0"
"Mupasi Mining Company Limited","gemstones","1","0","45","Emerald","0"
"Musanza Mining and Exploration Company Limited","critical_battery","1","0","30","Lead/Iron Ore/Limestone (General)","1"
"Musi Gems Limited","gemstones","1","1","66","Emerald","1"
"Musia Minerals Limited","gemstones","1","0","24420","Limestone (General)/Iron Ore/Manganese","0"
"MUSOKONTWELELE MINING CO-OPERATIVE SOCIETY LIMITED","critical_battery","1","1","7","Manganese/Gold/Copper","0"
"MUTABI MUTANZI MULTI-PURPOSE CO-OPERATIVE SOCIETY","critical_battery","1","1","7","Manganese/Gold/Copper","1"
"Mutivals Company Limited","critical_battery","2","0","1458","Manganese/Gold/Copper","1"
"Mutobo Mining & General Dealers Limited","gemstones","1","0","945","Diamond/Emerald/Quartz","1"
"Muwamba Nyama Mining & Agricultural Cooperative Society","gemstones","1","1","7","Tourmaline","1"
"Muyongo Shilenga Small Scale Mining Co-operative Society Limited","critical_battery","1","1","7","Lead/Manganese/Zinc","1"
"Muzuri Sana Mining Limited","critical_battery","1","0","9367","Nickel/Lead/Zinc","0"
"Mvuu Resources Limited","gold","1","0","1094","Iron Ore/Zinc/Gold","0"
"Mwakabanga Investments","gemstones","2","0","507","Gold/Lead/Nickel","2"
"Mwakali Mining Limited","gemstones","1","0","852","Iridium/Lead/Anhydrite","0"
"Mwalkan Investments Limited","critical_battery","1","0","162","Manganese/Lead/Zinc","0"
"Mwangeli Emerald Mining Limited","gemstones","1","1","155","Emerald","0"
"Mwapanda Corner Multi-Purpose Co-operative Society Limited","critical_battery","1","1","7","Mineral Sands/Manganese/Sand","0"
"Mwapo Business Solutions Limited","critical_battery","1","0","13","Nickel/Silver/Zinc","0"
"Mwatwiinda Multi Purpose Co-operative Society Limited","gemstones","1","1","7","Gold/Quartz/Amethyst","0"
"Mwaze Mining Co-operative Society Limited","gold","1","1","7","Iron Ore/Gold/Copper","0"
"Mwema Mining Investment Limited","critical_battery","1","0","133","Limestone (General)/Manganese/Zinc","1"
"MWILA  J. CIVILS LIMITED","gemstones","2","0","976","Limestone (General)/Malachite/Manganese","0"
"Mwinu Mines Limited","gemstones","1","0","39371","Lead/Iron Ore/Anhydrite","1"
"Myafi Mining Co-orperative Multi- Purpose Society","gemstones","1","1","7","Saprolite/Rare EarthsElements/Tourmaline","1"
"Mzanga Enterprises Limited","critical_battery","1","0","399","Lithium/Nickel/Tin","1"
"Nabasuntwe Mining Ventures Co-operative Society Limited","gemstones","1","1","7","Garnet/Feldspar/Iron Ore","0"
"Nachilala Mining Company Limited","gemstones","1","0","118","Garnet/Gold/Tourmaline","1"
"NALEYE BLOCKS AND MINING MINERAL PROCESSING LIMITED","gold","1","1","7","Gold/Copper","1"
"Nalikolo Mining Limited","critical_battery","1","0","1752","Malachite/Iron Ore/Manganese","0"
"NALILIMA MINING LIMITED","gemstones","1","0","69","Fluorine-Fluorite/Gold/Dolomite","0"
"Nalucha Resources Limited","gold","1","0","6167","Lead/Quartz/Zinc","0"
"Namita Construction and Mining Limited","gold","1","0","20","Silver/Gold","0"
"namundela mining co-operative society limited","gemstones","1","1","7","Gold/Emerald/Manganese","1"
"Nantube Investment Limited","gold","1","0","651","Phosphorus-Phosphates/Quartz/Gold","0"
"Naoje Boarder World Zambia Limited","critical_battery","1","0","749","Quartz/Rare EarthsElements/Nickel","1"
"Nasteho Investment Limited","gold","1","1","10","Gold/Copper","0"
"NATRAJ MINING AND MINERALS LIMITED","critical_battery","1","0","9524","Limestone (General)/Manganese/Iron Ore","0"
"Natural Precious Resources Company Limited","critical_battery","1","0","8231","Nickel/Molybdenum/Silver","0"
"NAVEX MINING AND CONTRACTORS LIMITED","critical_battery","1","0","3530","Nickel/Malachite/Zinc","0"
"Navratan Enterprise Limited","critical_battery","1","0","46605","Nickel/Manganese/Silver","0"
"Ndodzomuyaco Mining Limited","gemstones","1","1","144","Emerald/Beryllium","1"
"Ndulumba Mines Limited","gemstones","1","1","110","Emerald","1"
"Negro F-Solutions Limited","critical_battery","1","0","952","Manganese/Lead/Zinc","1"
"NELEMU MULTI-PURPOSE  CO-OPERATIVE LIMITED","gemstones","1","1","7","Lead/Iron Ore/Anhydrite","0"
"Nelna Suppliers and General Works Limited","critical_battery","1","0","8220","Quartz/Nickel/Manganese","0"
"New Decade Mining and Exploration Limited","critical_battery","1","0","280","Iron Ore/Manganese/Gold","1"
"New Generation Invesment Limited","gemstones","1","0","642","Rare EarthsElements/Niobium (Columbium)/Nickel","0"
"New Generation Multi-purpose Co-operative Society Limited","gemstones","1","1","7","Emerald/Copper/Cobalt","0"
"New Norodom Mines Limited","gemstones","1","1","13","Emerald/Beryllium","1"
"New Power Industries Limited","gemstones","1","0","4490","Manganese/Limestone (General)/Lead","1"
"NEWCORE MINING ZAMBIA LIMITED","gemstones","1","0","20028","Malachite/Manganese/Lead","0"
"Newcrest Mining Limited","critical_battery","1","0","1869","Manganese/Iron Ore/Silver","1"
"Newhorizons Mineral Resources Limited","critical_battery","1","0","234","Nickel/Silver/Zinc","0"
"Newlight Nominees Zambia Limited","gold","1","0","25511","Limestone (General)/Silver/Zinc","1"
"Newmark Resources Limited","gemstones","1","0","949","Manganese/Nickel/Anhydrite","1"
"Newport Marketing Company Limited","gemstones","1","0","882","Iron Ore/Anhydrite/Gypsum","0"
"NGABWE KAPANDE MINING CO-OPERATIVE SOCIETY  LIMITED","gemstones","1","1","7","Quartz/Manganese/Tin","0"
"N'gandu Mining Co-operative Society Limited","gemstones","1","1","7","Iron Ore/Gravel/Lead","1"
"Ngucha Energy Corporation Limited","critical_battery","1","0","42726","Nickel/Manganese/Platinum","1"
"Nicho Cargo Services Limited","gemstones","1","0","565","Iron Ore/Quartz/Zinc","0"
"Nicho Investments Limited","critical_battery","1","0","395","Iron Ore/Manganese/Quartz","1"
"Nikars Mining Limited","gemstones","1","0","2739","Manganese/Limestone (General)/Lead","1"
"NISS SKY Spares and Accessories (1996) Limited","gemstones","1","0","67","Nickel/Manganese/Tourmaline","0"
"Nkana General Delalers Ltd","gemstones","1","1","113","Emerald/Beryllium","0"
"Nkanza Resources Limited","critical_battery","1","0","22942","Lead/Nickel/Platinum","0"
"Nkisu Minerals and Mining Limited","gold","1","0","20954","Platinum/Silica/Silver","1"
"Nkulundundu Multi-purpose Cooperative","gold","1","1","7","Quartz/Silica/Zinc","0"
"NKUSULULU MULTPURPOSE CO-OPERATIVE SOCIETY LIMITED","gemstones","1","1","7","Mineral Sands/Silver/Gold","0"
"NOK Mining Co-Operative Society Limited","gemstones","1","1","7","Manganese/Granite/Tourmaline","1"
"Noralta Resources Limited","gemstones","1","0","4253","Nickel/Lead/Quartz","0"
"North Gypsum Mining Limited","gemstones","1","0","78318","Rare EarthsElements/Manganese/Silver","0"
"Northcut Mining Limited","gemstones","1","0","1146","Silver/Gold/Tin","1"
"Northern Salt Limited","gemstones","2","0","596","Lead/Iron Ore/Granite","2"
"Nova Capital Solutions Limited","gemstones","1","0","52295","Gravel/Iron Ore/Gold","0"
"Novel Ferro Alloys Limited","critical_battery","1","1","23","Manganese/Quartz/Iron Ore","1"
"NSALU MINING LIMITED","critical_battery","1","0","3405","Manganese/Nickel/Lead","0"
"Nsamba Farms Limited","gold","1","0","569","Lead/Platinum/Zinc","1"
