"holder","licenses","mining_lics","hectares","main_commodities","score"
"Benecho Women Multi-purpose Co-operative Society Limited","2","2","13","Limestone (General)/Manganese/Anhydrite","9.12179284976012"
"Central Mining Local Multi-Purpose Co-operative Society Limited","2","2","13","Nickel/Silver/Zinc","9.12144165273708"
"Ikondo Mining Cooperative Society (IMCS)","2","2","13","Gold/Zinc/Copper","9.12073840554294"
"Zambia Savings and Credit Union Cooperative Society Limited","2","2","13","Iron Ore/Anhydrite/Gypsum","9.12071867191104"
"Twawilwa Multi Purpose Cooperative  Limited","2","2","13","Gold","9.12066275508411"
"PROGRESSION YOUTH MULTI PURPOSE COOPERATIVE SOCIETY LIMITED","2","2","13","Gold/Copper/Zinc","9.12057393120585"
"LUKUNKA CENTRAL MULTI -PURPOSE CO-OPERATIVE SOCIETY LIMITED","2","2","13","Iron Ore/Gold/Copper","9.11991541025799"
"Mulonga Mining Cooperative Society Limited","2","2","13","Lead/Anhydrite/Manganese","9.11925588927794"
"MBOOZIBATEBULI MULTI- PURPOSE CO-OPERATIVE SOCIETY LIMITED","2","2","13","Quartz/Stone/Granite","9.11925588927794"
"Grassroots Copper Limited","4","0","130410","Platinum/Palladium/Silver","9.11530952185707"
"City Mine Multi-purpose Cooperative Society Limited","2","2","13","Tungsten/Lithium/Rare EarthsElements","9.11501773629661"
"KEMUFU MINING LIMITED","4","0","122357","Emerald/Gold/Nickel","9.08762867825359"
"Forest Mining Limited","3","1","1196","Iron Ore/Manganese/Lead","9.07773993081591"
"Mutand Resources Limited","4","0","119266","Limestone (General)/Lead/Anhydrite","9.07651534192637"
"African Pioneer Zambia Limited","4","0","116980","Nickel/Copper/Cobalt","9.06811012420707"
"Regal Ferro Alloys Limited","2","1","11056","Manganese/Silver/Iron Ore","9.0435951939082"
"Zambian Metals Industries Limited","4","0","108963","Gold/Copper/Lead","9.03727794780933"
"Tsavari Mining Limited","4","0","103874","Gold/Silver/Lead","9.01650567429357"
"Mayfair Global Solutions Zambia Limited","4","0","101321","Manganese/Silver/Zinc","9.005700524468"
"Tawakkal Gems Investments Co. Ltd","3","1","997","Emerald/Quartz/Manganese","8.99855905514559"
"Sherco investment limited","5","0","9671","Gold/Copper/Cobalt","8.98549024377162"
"Heartland Commodities Limited","2","1","9624","Rare EarthsElements/Silver/Zinc","8.98333530707015"
"Annapoorna Minerals Limited","4","0","93421","Sand/Manganese/Limestone (General)","8.97044580645097"
"TSSG Mining Limited","5","0","9276","Quartz/Tourmaline/Aquamarine","8.96734138917808"
"Limeco Resources Limited","3","1","924","Limestone (General)/Marble/Talc-Soapstone","8.96549205896165"
"Aman Processing Zambia Limited","2","1","9197","Iron Ore/Anhydrite/Tantalum","8.96365202772287"
"Chenjelani Resources Limited","4","0","91336","Manganese/Gold/Iron Ore","8.96064163665847"
"Twenty Ten Investments Limited","3","1","910","Iron Ore/Manganese/Quartz","8.95914852098756"
"WEIJU INVESTMENT LIMITED","4","0","90061","Lead/Gold/Silver","8.95453464309498"
"Nswachu Resources Limited","4","0","89992","Manganese/Copper/Cobalt","8.9542044389641"
"Malibu Mining Limited","3","1","900","Gold/Silver/Zinc","8.95400623723737"
"BUILDCREST INVESTMENTS LIMITED","4","0","89054","Gold/Manganese/Lead","8.94965172438739"
"Lamba Zambia Limited","4","0","88262","Gold/Copper/Cobalt","8.94577388185267"
"South Vale Coal Limited","2","1","8677","Quartz/Coal","8.93835247959541"
"Redfern Technical Services Limited","5","0","8394","Iron Ore/Lead/Silver","8.9239762082303"
"Zamdouble Investements Limited","4","0","82891","Zinc/Copper/Cobalt","8.9185057223282"
"Mboo Investments Limited","5","0","8283","Copper/Gold/Cobalt","8.91817346777721"
"Namonde Mining Limited","4","0","82644","Iron Ore/Lead/Zinc","8.91721190708291"
"Jingneng Mining Limited","4","0","82163","Copper/Zinc/Gold","8.91467827086673"
"Tawakkal Resources Limited","5","0","7857","Copper/Gold/Tantalum","8.89524574225556"
"Binjoh Investments Limited","4","0","75657","Copper/Manganese/Silver","8.87885113523579"
"Pegma Mining Limited","4","0","75010","Iron Ore/Zinc/Nickel","8.87511801154969"
"Nile Minerals Limited","4","0","74613","Manganese/Copper/Zinc","8.87281667738631"
"Copper Anode Zambia Limited","4","0","74550","Lead/Zinc/Gold","8.87244641917955"
"Turuma Mining Limited","5","0","7350","Gold/Manganese/Cobalt","8.86625787696533"
"SIBRU MINING INVESTMENTS LIMITED","4","0","72300","Nickel/Silver/Zinc","8.85913752541499"
"Mildil Construction Limited","4","0","69272","Gold/Copper/Cobalt","8.84055463894054"
"Pacific Minerals Limited","4","0","68628","Niobium (Columbium)/Gold/Copper","8.83650173178091"
"Hidden Treasures Mining Limited","4","0","67979","Quartz/Copper/Gold","8.83237582832001"
"Casa Grande Construction Limited","3","1","658","Iron Ore/Zinc/Copper","8.81842477870081"
"Afrique Nama Mining Limited","2","1","6409","Iron Ore/Nickel/Gold","8.80677882622527"
"Zam O Fresh Product Limited","4","0","64053","Anhydrite/Limestone (General)/Gypsum","8.80653647228917"
"Guohua Mining Company Limited","4","0","63837","Emerald/Gold/Nickel","8.80507546267591"
"Autogalaxy Associates Limited","3","1","596","Tungsten/Coal/Tin","8.77546313421705"
"Mount Putuo Copper Mine Limited","4","0","59237","Lead/Gold/Silver","8.77259202957882"
"Velos Enterprises Limited","2","1","5689","Limestone (General)/Manganese/Gold","8.75504657534082"
"Alnajah Investments Limited","2","1","5421","Gold/Copper/Zinc","8.73405343375516"
"Black Dolphin Natural Resources Limited","4","0","53694","Iron Ore/Manganese/Copper","8.72992712296352"
"OOLITIC INVESTMENTS LIMITED","4","0","51686","Gold/Copper/Zinc","8.71337324842508"
"Auroma Mining and Minerals Zambia Limited","4","0","51363","Iron Ore/Manganese/Gold","8.71065288816029"
"Copperzone Resources Limited","4","0","51357","Manganese/Uranium/Rare EarthsElements","8.71060275436133"
"Nairaw Mining Services Limited","5","0","5117","Copper/Iron Ore/Gold","8.70903748335802"
"Milz Mining and Construction Limited","5","0","5075","Gold/Copper/Cobalt","8.70540819094241"
"Danita Import and Export Logistics Limited","4","0","50152","Iron Ore/Manganese/Copper","8.70028542687598"
"CHADIZA MINERAL RESOURCES LIMITED","4","0","50079","Gold/Copper/Cobalt","8.69965556137949"
"Hammer-Land Construction and Mining Limited","4","0","49225","Iron Ore/Coal/Lead","8.69218651884708"
"Crescent Mineral Resources Limited","2","1","4887","Gold/Silver/Manganese","8.68899837415093"
"Kafue Copper Limited","4","0","47544","Copper/Silver/Cobalt","8.67709691661888"
"Antler Exploration Zambia Limited","3","0","473627","Nickel/Manganese/Zinc","8.67543675809219"
"Zman Zambia Limited","4","0","46116","Cobalt/Copper/Gold","8.66385007851574"
"Switty Properties & Real Estate Limited","4","0","45855","Gold/Copper/Nickel","8.6613904312492"
