"holder","segment","hectares","licenses","mining_lics","main_commodities","lics_in_default_2025","status"
"Muvalu Mining Company Limited","base_metals","68627","1","0","Copper","1","researched_no_channel"
"Hidden Treasures Mining Limited","gemstones","67979","4","0","Quartz/Copper/Gold","3","researched_no_channel"
"Kulwant Investments Limited","gemstones","67393","2","0","Copper/Iron Ore/Gold","0","researched_no_channel"
"STRAMIN AFRICA ZAMBIA LIMITED","gemstones","67104","1","0","Rare EarthsElements/Quartz/Niobium (Columbium)","0","researched_no_channel"
"Liuris Resources Limited","critical_battery","66988","2","0","Manganese/Malachite/Zinc","0","researched_no_channel"
"BLACK TIGER MINING LIMITED","gemstones","66417","3","0","Gold/Nickel/Cobalt","2","researched_no_channel"
"Nalukui Investments  Limited","gold","66132","2","0","Lead/Palladium/Platinum","0","researched_no_channel"
"imwater technologies zambia limited","critical_battery","66040","2","0","Malachite/Lead/Zinc","2","researched_no_channel"
"Datong Industry Corporation Limited","critical_battery","65884","1","0","Iron Ore/Manganese/Copper","0","never_researched"
"Vienco Industries Limited","gemstones","65817","3","0","Copper/Gold/Silver","1","researched_no_channel"
"Ciba International Limited","gemstones","64779","2","0","Feldspar/Garnet/Nickel","0","researched_no_channel"
"SK Rural Development Company Limited","critical_battery","64773","1","0","Silver/Manganese/Tantalum","0","never_researched"
"ATL Exploration and Mining Limited","gemstones","64429","3","0","Nickel/Manganese/Malachite","0","researched_no_channel"
"Mukoleku Security Services Limited","critical_battery","64075","1","0","Silica/Rare EarthsElements/Platinum","0","never_researched"
"Zam O Fresh Product Limited","gemstones","64053","4","0","Anhydrite/Limestone (General)/Gypsum","3","researched_no_channel"
"Shindumba Mining Limited","critical_battery","63901","1","0","Nickel/Silver/Zinc","0","researched_no_channel"
"Guohua Mining Company Limited","gemstones","63837","4","0","Emerald/Gold/Nickel","3","researched_no_channel"
"Jingdao Mining Limited","gemstones","62433","5","0","Copper/Manganese/Cobalt","0","researched_no_channel"
"Droplex Industrial System Limited","critical_battery","62193","2","0","Manganese/Tin/Lithium","1","researched_no_channel"
"Wealthfields Minerals And Metals Limited","critical_battery","62144","3","0","Iron Ore/Manganese/Silver","3","researched_no_channel"
"Hadaean Minerals Limited","gemstones","61665","2","0","Iron Ore/Gold/Niobium (Columbium)","1","researched_no_channel"
"Faith Mountain Investments Company Limited","gemstones","61063","3","0","Gold/Copper/Nickel","0","researched_no_channel"
"Ulubwe Mining Limited","gemstones","60417","5","1","Gold/Copper/Zinc","1","researched_no_channel"
"Achilles Mining Limited","critical_battery","60231","3","0","Silver/Manganese/Platinum","1","researched_no_channel"
"Eagles Holding Limited","gemstones","59800","4","1","Lead/Silver/Zinc","2","researched_no_channel"
"Gold Trap World Resources Limited","gemstones","59726","1","0","Iron Ore/Nickel/Tin","0","never_researched"
"Mount Putuo Copper Mine Limited","gemstones","59237","4","0","Lead/Gold/Silver","0","researched_no_channel"
"SHINETH RESOURCE MINING LIMITED","gemstones","57617","3","0","Malachite/Gold/Copper","0","researched_no_channel"
"Golden Horse Investements Limited","critical_battery","57611","1","0","Iron Ore/Manganese/Copper","1","never_researched"
"BRUDAS INVESTMENTS LIMITED","gemstones","57584","2","0","Quartz/Fluorine-Fluorite/Feldspar","0","researched_no_channel"
"Lusasha Mining and Contractors Limited","critical_battery","57465","1","0","Quartz/Manganese/Zinc","1","never_researched"
"Frontier Generations Limited","gemstones","56706","1","0","Gold/Quartz/Emerald","1","never_researched"
"Hongyida Investment Limited","critical_battery","56652","5","0","Copper/Silver/Zinc","2","researched_no_channel"
"Zambian Anglo Copper Limited","gemstones","56648","6","0","Gold/Copper/Cobalt","3","researched_no_channel"
"Irenka Limited","critical_battery","55795","3","0","Gold/Zinc/Cobalt","0","researched_no_channel"
"Kango Trading Limited","critical_battery","55527","1","0","Niobium (Columbium)/Silver/Zinc","1","never_researched"
"New-MC Investment Limited","gemstones","55412","5","0","Gold/Copper/Cobalt","0","researched_no_channel"
"L and I Investments Limited","critical_battery","55208","1","0","Nickel/Silver/Gold","0","never_researched"
"Cob Global Printers and Suppliers Limited","critical_battery","55058","3","0","Iron Ore/Zinc/Quartz","1","researched_no_channel"
"Kambole Minerals Limited","critical_battery","54982","2","0","Dolomite/Zinc/Nickel","1","researched_no_channel"
"Fort Jameson Gold Fields Limited","critical_battery","54790","2","0","Iron Ore/Lead/Zinc","1","researched_no_channel"
"JP MINERAL AND REFINERY LIMITED","gemstones","54672","3","0","Silver/Gypsum/Graphite","0","researched_no_channel"
"African Pearl Estates Limited","gemstones","53996","6","1","Gold/Copper/Cobalt","5","researched_no_channel"
"Zammao Mining Investment Company Limited","critical_battery","53947","3","0","Copper/Manganese/Gold","2","researched_no_channel"
"Black Dolphin Natural Resources Limited","critical_battery","53694","4","0","Iron Ore/Manganese/Copper","3","researched_no_channel"
"Amabwe Mineral Ventures Limited","gemstones","53280","3","0","Silver/Emerald/Nickel","0","researched_no_channel"
