"segment","holder","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024"
"gemstones","Chumu Mining Company Limited","2","0","428","Diamond/Emerald/Cobalt","2","0"
"gemstones","City Multipurpose Cooperative Society","1","1","3","Tin/Tantalum/Tungsten","1","0"
"gemstones","Clarma Resources Limited","3","0","1036","Cobalt/Gold/Iron Ore","2","0"
"gemstones","Concrete Structures Limited","1","0","3531","Iron Ore/Granite/Rare EarthsElements","1","0"
"gemstones","Damayacha Mining Limited","1","0","765","Tantalum/Tourmaline/Quartz","0","0"
"gemstones","Dongsen Mining & Investment Limited","1","0","94683","Ruby/Quartz/Zinc","1","0"
"gemstones","Doug Morgar Multi Purpose Co-operate Society","1","1","7","Amethyst","0","0"
"gemstones","Eagle Eye Mining Multi-purpose Co-operative Society","1","1","7","Lead/Iron Ore/Silica","1","0"
"gemstones","Edenvale Investments Limited","2","0","7066","Quartz/Zinc/Gold","0","0"
"gemstones","Elijah Moomba General Dealers Limited","1","1","13","Iron Ore/Silver/Zinc","1","0"
"gemstones","ENOSARS CONSTRUCTION LIMITED","2","0","1033","Manganese/Limestone (General)/Lead","0","0"
"gemstones","Favourite Emerald Mine Limited","1","1","77","Emerald/Beryllium","1","1"
"gemstones","Finest Mineral Resources Company Limited","2","0","4101","Gold/Copper/Amethyst","0","0"
"gemstones","Ganfeng Mining Group Limited","1","0","19751","Molybdenum/Niobium (Columbium)/Gold","1","0"
"gemstones","Gatis Freight International Limited","1","0","513","Gold/Nickel/Silver","0","0"
"gemstones","Gemaguo Mining and Contractors Limited","1","0","4113","Silver/Manganese/Zinc","1","0"
"gemstones","GWK Earth Movers.Com Limited","1","0","187","Quartz/Silica/Gold","1","0"
"gemstones","H and K Investments Limited","1","1","45","Emerald/Beryllium","1","0"
"gemstones","HAMBLOCKS LOGISTICS LIMITED","1","0","22696","Quartz/Manganese/Limestone (General)","0","0"
"gemstones","HONLOE SERVICES LIMITED","1","0","9699","Manganese/Malachite/Limestone (General)","1","0"
"gemstones","Inchkwakwa Enterprises Limited","3","0","439","Iron Ore/Malachite/Nickel","1","0"
"gemstones","Infra Mining Consultants Limited","1","0","2912","Nickel/Manganese/Malachite","0","0"
"gemstones","Interprochan Developments Limited","2","0","15732","Limestone (General)/Lead/Iron Ore","1","0"
"gemstones","Jalusi Investments Limited","1","1","399","Amethyst","1","1"
"gemstones","Josmas Enterprises Limited","2","0","10293","Copper/Coal/Beryllium","1","0"
"gemstones","Kankan Mining Co. Limited","1","1","68","Amethyst","1","0"
"gemstones","Kemose Mining Limited","1","0","5780","Lead/Iron Ore/Limestone (General)","1","0"
"gemstones","Kesava Mineral Limited","1","0","394","Gold/Nickel/Emerald","0","0"
"gemstones","Kushinshika Investments Limited","1","1","27","Quartz/Emerald/Citrine","1","0"
"gemstones","Kyasalaula Multi-Purpose Co-operative Society Limited","1","1","7","Nickel/Quartz/Gold","1","0"
"gemstones","LENTASIM LOGISTICS LIMITED","1","0","766","Copper/Gold/Aquamarine","1","0"
"gemstones","LINPU PAT MINING LIMITED","1","0","455","Quartz/Emerald/Amethyst","0","0"
"gemstones","LOBO GENERAL DEALERS LIMITED","1","0","2622","Tantalum/Quartz/Titanium","0","0"
"gemstones","LUKANKO INVESTMENTS LIMITED","2","0","14174","Zinc/Copper/Gold","0","0"
"gemstones","Luongo Mineral Resources Limited","1","0","8785","Platinum/Rubidium/Manganese","0","0"
"gemstones","Lusa Small Mines Limited","1","1","46","Emerald/Beryllium","1","0"
"gemstones","M.G Mwanjisi Auto Parts Limited","1","0","44","Emerald","1","0"
"gemstones","Makali Enterprises Limited","1","1","75","Emerald/Beryllium","1","1"
"gemstones","Mandlethu Zambia Ltd","1","1","121","Mica/Tourmaline/Emerald","0","0"
"gemstones","Masuku Copper Development Limited","1","0","182","Tantalum/Tin/Gold","0","0"
"gemstones","Maxping Mining Limited","1","0","845","Quartz/Gold/Silver","1","1"
"gemstones","Meadow Processing Technologies Limited","2","0","277","Quartz/Rare EarthsElements/Manganese","0","0"
"gemstones","Meridian Mining & Exploration Limited","1","0","44322","Gold/Lithium/Manganese","0","0"
"gemstones","Metalix Mining Limited","1","0","6034","Limestone (General)/Anhydrite/Tantalum","0","1"
"gemstones","MGB Mining Limited","1","1","97","Emerald","1","1"
"gemstones","Minsundu Gemstone Mining Limited","1","0","984","Manganese/Quartz/Tourmaline","1","1"
"gemstones","Mitchell Cotts Mining Limited","2","0","1965","Lithium/Quartz/Tourmaline","0","0"
"gemstones","Mitondo Mining Company Limited","1","1","88","Emerald/Beryllium","1","1"
"gemstones","Mount Horeb Investments Limited","1","1","85","Tin/Titanium/Tungsten","1","1"
"gemstones","Mountlisa Minerals Limited","2","0","239","Iron Ore/Lead/Gypsum","0","0"
"gemstones","Mowen Resourses Limited","1","0","6560","Malachite/Iron Ore/Zinc","0","0"
"gemstones","MSANZALA RESOURCES LIMITED","2","0","12175","Nickel/Manganese/Zinc","0","0"
"gemstones","Mukulu Mining Limited","1","1","77","Tourmaline/Emerald/Beryllium","1","0"
"gemstones","MUKWARUWANDI MINING AND CONSTRUCTION LIMITED","1","0","80","Quartz/Kyanite/Tourmaline","1","0"
"gemstones","Mulundu Mineral Resources Limited","2","0","1109","Gold/Nickel/Silver","1","0"
"gemstones","Munanzuki Resources","1","0","1085","Limestone (General)/Anhydrite/Quartz","0","0"
"gemstones","Mwaphi Investmnet limited","1","0","8369","Gold/Manganese/Zinc","0","0"
"gemstones","Nachibila Resources Limited","3","0","299","Gold/Tourmaline/Cobalt","1","0"
"gemstones","NASH INVESTMENTS LIMITED","4","0","15498","Copper/Gold/Cobalt","0","0"
"gemstones","Nkasekelela Multi-purpose cooperative society","1","1","7","Gold/Malachite/Copper","0","0"
"gemstones","Nkuti Ventures Limited","2","0","4718","Manganese/Gold/Copper","0","0"
"gemstones","North Western estates Limited","4","0","10039","Gold/Zinc/Nickel","2","0"
"gemstones","Novatrade Investments Limited","1","0","88","Coal/Feldspar/Fluorine-Fluorite","0","0"
"gemstones","Ntamba Mweru Copper Mine Limited","1","0","261","Manganese/Quartz/Tourmaline","1","0"
"gemstones","Olipe Investments Limited","1","0","23","Niobium (Columbium)/Nickel/Molybdenum","1","0"
"gemstones","Overland Supplies Limited","1","0","3804","Quartz/Rare EarthsElements/Tourmaline","1","0"
"gemstones","Pantanshi Gold Limited","1","0","4128","Lead/Tin/Zinc","1","0"
"gemstones","Plate Techtonics Zambia Limited","2","0","439","Lead/Limestone (General)/Anhydrite","0","0"
"gemstones","Precious Transparency Limited","1","1","76","Anhydrite/Tourmaline/Aquamarine","1","1"
"gemstones","Proquest Minerals and Exploration Limited","1","0","2472","Copper/Gold/Quartz","1","0"
"gemstones","Rech Mining Limited","1","0","67","Emerald/Beryllium","0","0"
"gemstones","Rockvalley Mining Zambia Limited","1","0","9296","Tantalum/Quartz/Tin","1","0"
"gemstones","RUVIT INVESTMENTS LIMITED","1","0","3952","Manganese/Malachite/Nickel","0","0"
"gemstones","Salmar Zambia Limited","2","0","1525","Manganese/Limestone (General)/Lead","1","0"
"gemstones","Sandspring Ventures Limited","2","0","1396","Manganese/Lead/Silver","0","0"
"gemstones","Serengeti Lodge Limited","1","0","4767","Manganese/Silver/Zinc","0","0"
"gemstones","Sianzovu Community Mining Cooperative","1","1","7","Quartz/Nickel/Manganese","1","0"
"gemstones","Silver Rock Mining Limited","1","0","1528","Silica/Quartz/Mica","1","0"
"gemstones","Skopos Resources Limited","1","0","110","Quartz/Emerald/Beryllium","0","0"
"gemstones","STRAMIN AFRICA ZAMBIA LIMITED","1","0","67104","Rare EarthsElements/Quartz/Niobium (Columbium)","0","0"
"gemstones","Sulocha Mines Limited","1","0","155","Emerald","0","0"
"gemstones","Teviem Enterprises Limited","1","0","354","Iron Ore/Gold/Tourmaline","0","0"
"gemstones","Top Stone Mining Limited","1","0","4873","Lead/Iron Ore/Manganese","1","0"
"gemstones","Tradeco Mineral Resources Limited","1","0","398","Quartz/Tourmaline/Garnet","1","1"
"gemstones","Tundamo Gem Mine Limited","1","0","422","Tourmaline","1","0"
"gemstones","TWEENDE CHILOBE MULTIPURPOSE COOPERATIVE SOCIETY LIMITED","1","1","7","Mica/Fluorine-Fluorite/Tourmaline","1","0"
"gemstones","USTAWI INVESTMENT LIMITED","1","0","77","Copper/Emerald/Zinc","0","0"
"gemstones","Victory Mining Company Limited","1","0","123","Emerald/Beryllium","0","0"
"gemstones","Wildrock Resources Limited","1","0","28655","Quartz/Lead/Iron Ore","1","0"
"gemstones","Winter Libohole Limited","1","0","908","Talc-Soapstone/Quartz/Manganese","1","0"
"gemstones","Xingstone Resources Limited","2","0","977","Quartz/Tourmaline/Zinc","2","2"
"gemstones","Zagema Mining and Mineral Trading Corperative","1","1","7","Sand and Gravel/Clay (General)/Aquamarine","1","0"
"gemstones","Zam-Kirin Mining Limited","2","0","1436","Quartz/Tourmaline/Aquamarine","2","0"
