"holder","declared_business","business_class","name_contradicts_declaration","entity_number","registration_date","hectares","licenses","mining_lics","main_commodities","beneficial_owner_declared","annual_return_filed","lics_in_default_2025"
"HOTA MINING COMPANY LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120251019921","05/02/2025","52900","1","0","Silver/Rare EarthsElements/Quartz","1","0","0"
"Sinomine Resource Geological Engineering Company Limited","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","mining_related","no","120130113632","09/07/2013","52612","2","0","Gold/Manganese/Beryllium","1","1","0"
"TAAZ MINING LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120251021831","06/03/2025","51653","2","0","Nickel/Zinc/Gold","1","1","0"
"Auroma Mining and Minerals Zambia Limited","Mining of other non-ferrous metal ores","mining_related","no","120230059632","14/11/2023","51363","4","0","Iron Ore/Manganese/Gold","1","1","0"
"Copperzone Resources Limited","Support activities for other mining and quarrying","mining_related","no","120080075362","13/10/2008","51357","4","0","Manganese/Uranium/Rare EarthsElements","0","0","1"
"Zamare Minerals ( Zambia) Limited","Other mining and quarrying n.e.c.","mining_related","no","120180009015","25/10/2018","51225","5","0","Gold/Copper/Cobalt","0","1","2"
"Pridegems Mines Limited","Other mining and quarrying n.e.c.","mining_related","no","120160005103","19/07/2016","51091","3","2","Emerald/Copper/Gold","1","0","1"
"Kawachi Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120230047555","15/03/2023","50997","3","0","Manganese/Gold/Copper","1","1","0"
"Constantinou Menelaos Agathoklis Mining Company Limited","Mining of iron ores","mining_related","no","120210021999","12/10/2021","50978","3","0","Gold/Copper/Cobalt","1","1","3"
"LOBITO RESOURCES LIMITED","Support activities for other mining and quarrying","mining_related","no","120241015097","01/11/2024","50657","1","0","Garnet/Gemstones/Feldspar","1","1","0"
"CHADIZA MINERAL RESOURCES LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241005921","30/04/2024","50079","4","0","Gold/Copper/Cobalt","1","0","2"
"Unene Trading Limited","Retail sale in non-specialized stores with food, beverages or tobacco predominating","mining_related","no","120190007888","04/10/2019","49669","2","0","Manganese/Copper/Cobalt","1","0","2"
"Mwenshi Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120251020465","14/02/2025","48217","2","0","Nickel/Quartz/Zinc","1","1","0"
"SILVER JACKET GENERAL DEALERS LIMITED","Other retail sale in non-specialized stores","mining_related","no","120230055636","29/08/2023","48061","3","0","Iron Ore/Manganese/Copper","1","0","2"
