"commodity","hs_code","year","volume","unit","value_usd","value_zmw","customs_transactions","source"
"Other copper alloys (other than master alloys of 7405)",,"2024","800","Metric ton (1000 kg)","6846461.52",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unwrought aluminium, not alloyed",,"2024","2658","Dry metric tonnes","6195237.67",,"13","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"MANGANESE ORES/CONCENTRATES(INC.FERRUGINOUS), WITH MANGANESE CONT.OF=>20%",,"2024","131483","Metric ton (1000 kg)","6090538.18",,"35","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unroasted iron pyrite ore",,"2024","22000","Metric ton (1000 kg)","5813335",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unroasted iron pyrite concentrate",,"2024","21000","Dry metric tonnes","5549092.5",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Lead ores and concentrates",,"2024","5024","Dry metric tonnes","4940578.83",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper concentrate, Oxide",,"2024","2501","Metric ton (1000 kg)","4497515.91",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Sulphide",,"2024","15000","Dry metric tonnes","3974923.5",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"other Zinc concentrates",,"2024","4900","Metric ton (1000 kg)","3864942.64",,"5","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unwrought lead (excl. refined and containing antimony)",,"2024","1300","Metric ton (1000 kg)","3828670.95",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Zincite, zinc oxide ores",,"2024","6000","Metric ton (1000 kg)","3756596.5",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
